"","Month","Longitude","Latitude","Location","Crime type","City-Town-Village","Population"
"197539","2016-03",-6.689271,54.266201,"Bachelors Walk","VISO","Other Town",NA
"66402","2015-06",-7.353784,55.01485,"Inch View","ASBO","LONDONDERRY",NA
"36728","2015-03",-6.210598,54.67504,NA,"OTCR",NA,NA
"66942","2015-06",-5.554324,54.577857,"Johnston Park","ASBO","Other Town",NA
"10999","2015-01",-6.65461,54.353443,"Lonsdale Road","VISO","ARMAGH",113
"292002","2016-10",-7.331095,55.004963,"Rosemount Avenue","ROBY","Other Town",NA
"313148","2016-12",-6.13969,54.49576,"Lurganure Road","CDAR","LISBURN",74
"352839","2017-03",-6.391034,54.449486,NA,"VECR",NA,NA
"179929","2016-02",-5.711706,54.315187,"Killough Walk","CDAR","DOWNPATRICK",58
"171646","2016-01",-7.29318,54.996171,"Arden Place","VISO","LONDONDERRY",NA
"240986","2016-07",-6.003702,54.5761,NA,"ASBO",NA,NA
"339462","2017-02",-6.337119,54.175566,NA,"ROBY",NA,NA
"326365","2017-01",-6.255931,54.933835,"Cushendall Road","DRUG","Other Town",NA
"134207","2015-10",-6.39574,54.450573,"Avondale Manor","VISO","CRAIGAVON",110
"394175","2017-06",-6.129846,54.722112,"Moat Road","VECR","Other Town",NA
"268708","2016-09",-5.93264,54.600091,"Chapel Lane","ASBO","Other Town",NA
"188739","2016-03",-5.998054,54.578064,"Knockdhu Park","ASBO","Other Town",NA
"249369","2016-07",-5.997695,54.548479,NA,"OTTH",NA,NA
"118805","2015-09",-5.976558,54.627887,"Squires Hill Road","VECR","BELFAST",232
"295377","2016-10",-7.819456,54.418969,"Tonnagh Road","VISO","Other Town",NA
"379965","2017-05",-5.943389,54.583966,"Lisburn Road","SHOP","Other Town",NA
"277728","2016-09",-6.32402,54.751007,"Portglenone Road","PUBO","Other Town",NA
"76512","2015-06",-5.876739,54.577855,"Clonduff Drive","VISO","BELFAST",232
"143225","2015-11",-5.707978,54.587912,"Rathmullan Drive","CDAR","Other Town",NA
"50827","2015-05",-5.801514,54.843738,NA,"ASBO",NA,NA
"44489","2015-04",-6.016986,54.578052,"Glencolin Manor","CDAR","BELFAST",232
"122604","2015-10",-5.938546,54.580622,"Malone Road","ASBO","BELFAST",232
"344907","2017-03",-5.838489,54.854537,"Fairway","ASBO","LARNE",231
"408511","2017-07",-6.056381,54.519535,"Duncans Road","VECR","LISBURN",74
"179875","2016-02",-6.342449,54.170958,"Pool Lane","CDAR","NEWRY",194
"83353","2015-07",-6.005688,54.550328,NA,"ASBO",NA,NA
"396619","2017-06",-5.933461,54.593357,"Hope Street","VISO","Other Town",NA
"271740","2016-09",-7.307392,55.031878,"Cornshell Fields","ASBO","LONDONDERRY",NA
"122671","2015-10",-5.745429,54.604816,NA,"ASBO",NA,NA
"49075","2015-04",-7.318992,54.995249,"Newmarket Street","VISO","LONDONDERRY",NA
"246789","2016-07",-7.322908,55.001154,"Clarendon Street","CDAR","LONDONDERRY",NA
"49457","2015-04",-6.212964,54.716799,NA,"VISO",NA,NA
"324428","2017-01",-5.723301,54.8165,NA,"BURG",NA,NA
"152084","2015-12",-6.365149,55.02759,"Culcrum Road","ASBO","Other Town",NA
"393513","2017-06",-6.665224,55.132745,"Railway Road","SHOP","Other Town",NA
"375924","2017-05",-5.922286,54.604972,"Corporation Square","BITH","BELFAST",232
"338791","2017-02",-5.935971,54.64802,"Glencoe Park","OTTH","NEWTOWNABBEY",67
"131463","2015-10",-6.333434,54.465417,"North Street","DRUG","Other Town",NA
"361161","2017-04",-7.331596,54.994555,"Elmwood Street","ASBO","LONDONDERRY",NA
"329333","2017-01",-6.631944,55.117859,"Windyhall Park","VISO","COLERAINE",181
"251565","2016-07",-7.42474,54.861808,"Maple Road","VISO","Other Town",NA
"29801","2015-03",-6.659941,55.19724,"West Strand Road","CDAR","PORTRUSH",308
"173478","2016-01",-5.66942,54.589304,"Greenlea Park","VISO","NEWTOWNARDS",199
"141743","2015-11",-5.980415,54.619128,NA,"BURG",NA,NA
"309328","2016-12",-7.319201,54.497065,"Main Street","ASBO","Other Town",NA
