"","Organisation name","Sub-building Name","Building Name","Number","Primary Thorfare","Alt Thorfare","Secondary Thorfare","Locality","Townland","Town","County","Postcode","x-coordinates","y-coordinates","Primary Key"
"825954",NA,NA,NA,"16","BALLYAVELIN ROAD",NA,NA,NA,"ARDGARVAN","LIMAVADY","LONDONDERRY","BT490NE",268760,420160,825954
"825955",NA,NA,NA,"5","DAIRYVALE",NA,NA,NA,"BOVALLY","LIMAVADY","LONDONDERRY","BT490DZ",268764,422267,825955
"825956",NA,NA,NA,"2","ANDERSON CRESCENT",NA,NA,NA,"ENAGH","LIMAVADY","LONDONDERRY","BT490SY",268566,422090,825956
"825960",NA,NA,NA,"30","WOODLAND WALK",NA,NA,NA,"COOLESSAN","LIMAVADY","LONDONDERRY","BT499EP",267524,421700,825960
"825961",NA,NA,NA,"7","GLENMILL PARK",NA,NA,NA,"ENAGH","LIMAVADY","LONDONDERRY","BT490RS",267648,421981,825961
"825962",NA,NA,NA,"17","MEADOWVALE PARK",NA,NA,NA,"ENAGH","LIMAVADY","LONDONDERRY","BT490NU",268048,422029,825962
"825963",NA,NA,NA,"40","NEWTON ROAD",NA,NA,NA,"BOVALLY","LIMAVADY","LONDONDERRY","BT490UD",268691,422691,825963
"825964",NA,NA,NA,"26","ALEXANDER ROAD",NA,NA,NA,"RATHBRADY MORE","LIMAVADY","LONDONDERRY","BT490BW",267384,423311,825964
"825965",NA,"FLAT 20","BENEVENAGH FOLD","102","CONNELL STREET",NA,NA,NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT490EF",267390,422968,825965
"825967",NA,NA,NA,"35","ARDGARVAN COTTAGES",NA,NA,NA,"ARDGARVAN","LIMAVADY","LONDONDERRY","BT490NF",268595,420124,825967
"825968",NA,NA,NA,"142","RINGSEND ROAD",NA,NA,NA,"DRUMRAMER","LIMAVADY","LONDONDERRY","BT490QN",274901,423478,825968
"825973",NA,NA,NA,"25","ROSE PARK",NA,NA,NA,"ENAGH","LIMAVADY","LONDONDERRY","BT490BF",268713,421646,825973
"825985",NA,NA,NA,"21","CASTLE PARK",NA,NA,NA,"RATHBRADY MORE","LIMAVADY","LONDONDERRY","BT490SW",268470,423059,825985
"825986",NA,NA,NA,"33","ROSSEDEN PARK",NA,NA,NA,"BOVALLY","LIMAVADY","LONDONDERRY","BT490PQ",268902,422100,825986
"825987",NA,NA,NA,"44","DRUMSURN ROAD",NA,NA,NA,"DRUMMOND","LIMAVADY","LONDONDERRY","BT490PD",269641,422747,825987
"826029",NA,NA,NA,"95","MOUNT EDEN",NA,NA,NA,"ENAGH","LIMAVADY","LONDONDERRY","BT490TN",268533,421798,826029
"826240",NA,NA,NA,"219","BALLYQUIN ROAD",NA,NA,NA,"BALLYQUIN","LIMAVADY","LONDONDERRY","BT499HB",269038,416866,826240
"826241",NA,NA,NA,"1A","EAST ROAD",NA,NA,NA,"BALLYQUIN","LIMAVADY","LONDONDERRY","BT490NW",269069,417265,826241
"826245",NA,NA,NA,"21","KILHOYLE ROAD",NA,NA,NA,"DRUMSURN UPPER","LIMAVADY","LONDONDERRY","BT490PU",273234,416586,826245
"826260",NA,NA,NA,"282","DRUMSURN ROAD",NA,NA,NA,"DRUMSURN LOWER","LIMAVADY","LONDONDERRY","BT490PP",272314,416709,826260
"826272",NA,NA,NA,"44A","GORTNARNEY ROAD",NA,NA,NA,"CLOGHAN","LIMAVADY","LONDONDERRY","BT490PZ",273271,418324,826272
"826789","FOREST",NA,NA,"7","CONNELL STREET",NA,NA,NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT494SD",267216,423186,826789
"830699",NA,NA,NA,"10","BEECH ROAD",NA,NA,NA,"DRUMSURN LOWER","LIMAVADY","LONDONDERRY","BT490PR",272013,417208,830699
"832259",NA,NA,NA,"4E","GLENVIEW DRIVE",NA,NA,NA,"COOLESSAN","LIMAVADY","LONDONDERRY","BT490RZ",267562,422086,832259
"832270",NA,"UNIT 22",NA,"1","AGHANLOO ROAD",NA,NA,"AGHANLOO INDUSTRIAL ESTATE","ARTIKELLY","LIMAVADY","LONDONDERRY","BT490HE",268258,425721,832270
"832283",NA,NA,NA,"40A","TARTNAKILLY ROAD",NA,NA,NA,"GLACK","LIMAVADY","LONDONDERRY","BT499NA",262195,418835,832283
"832344",NA,NA,NA,"30","DUNCRUN ROAD",NA,NA,NA,"TAMLAGHT (PART OF GLEBE)","LIMAVADY","LONDONDERRY","BT490JD",267588,431400,832344
"832345",NA,NA,NA,"300","SEACOAST ROAD",NA,NA,NA,"DRUMNAHAY","LIMAVADY","LONDONDERRY","BT490JY",266784,431264,832345
"832676",NA,NA,NA,"25A","CATHERINE STREET",NA,NA,NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT499DA",267054,423051,832676
"832741","LIMAVADY REFORMED PRESBYTERIAN CH",NA,NA,"5","GREYSTONE ROAD",NA,NA,NA,"COOLESSAN","LIMAVADY","LONDONDERRY","BT490ND",267608,422391,832741
"832742",NA,NA,NA,"45","PLANTATION VIEW",NA,NA,NA,"BOVALLY","LIMAVADY","LONDONDERRY","BT490UX",268788,423136,832742
"833055",NA,NA,"WATER TREATMENT WORKS",NA,"CARROWCLARE ROAD",NA,NA,NA,"CARROWCLARE","LIMAVADY","LONDONDERRY","BT499EB",263516,426918,833055
"833338",NA,NA,NA,"45","TULLY ROAD",NA,NA,NA,"TULLY","LIMAVADY","LONDONDERRY","BT499HW",264491,422116,833338
"833376",NA,NA,NA,"15","BENONE AVENUE",NA,NA,NA,"BENONE","LIMAVADY","LONDONDERRY","BT490LQ",271461,435717,833376
"833461",NA,NA,NA,"21","DRUMACHOSE MEWS",NA,NA,NA,"RATHBRADY MORE","LIMAVADY","LONDONDERRY","BT490UJ",267801,422551,833461
"833660",NA,NA,NA,"7","RATHBEG DRIVE",NA,NA,NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT490BB",267594,422567,833660
"833867",NA,NA,NA,"33","RATHMORE ROAD",NA,NA,NA,"RATHBRADY MORE","LIMAVADY","LONDONDERRY","BT490DF",267974,423375,833867
"833889",NA,NA,NA,"65","GREYSTONE PARK",NA,NA,NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT490EQ",267592,422441,833889
"833894",NA,NA,NA,"37","LAUREL ROAD",NA,NA,NA,"GLACK","LIMAVADY","LONDONDERRY","BT499NB",262212,418051,833894
"834015",NA,NA,NA,"18C","POLLYS BRAE ROAD",NA,NA,NA,"LARGY","LIMAVADY","LONDONDERRY","BT499LL",267130,418155,834015
"834246","SMYTH & MCMURTY",NA,NA,"16","LINENHALL STREET",NA,NA,NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT490HQ",266974,423054,834246
"834374",NA,NA,NA,"77","ALEXANDER ROAD",NA,NA,NA,"RATHBRADY MORE","LIMAVADY","LONDONDERRY","BT490BP",267409,423363,834374
"834377",NA,NA,NA,"44","FREEHALL ROAD",NA,NA,NA,"FREEHALL OR MONEYVENNON","LIMAVADY","LONDONDERRY","BT490HU",269646,427344,834377
"834451",NA,NA,NA,"17","ENAGH PARK",NA,NA,NA,"ENAGH","LIMAVADY","LONDONDERRY","BT490SA",267857,421876,834451
"834480",NA,NA,NA,"61A","WHISPERING PINES",NA,NA,NA,"BOVALLY","LIMAVADY","LONDONDERRY","BT490UF",269051,422443,834480
"835313",NA,NA,NA,"67","IRISH GREEN STREET",NA,NA,NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT499AA",267190,422872,835313
"835472",NA,NA,NA,"90","MOUNT EDEN",NA,NA,NA,"CARRAN","LIMAVADY","LONDONDERRY","BT490TS",268651,421627,835472
"835505",NA,NA,NA,"1","ROSE GARDENS",NA,NA,NA,"CARRAN","LIMAVADY","LONDONDERRY","BT490TW",268924,421515,835505
"835541",NA,NA,NA,"85","ROE MILL GARDENS",NA,NA,NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT499AT",267148,422161,835541
"835593",NA,NA,NA,"28","OUGHTYMOYLE AVENUE",NA,NA,NA,"OUGHTYMOYLE","LIMAVADY","LONDONDERRY","BT490JZ",266895,431725,835593
"835615",NA,NA,NA,"5","NEWTON ROAD",NA,NA,NA,"BOVALLY","LIMAVADY","LONDONDERRY","BT490UD",268560,422874,835615
"835643",NA,NA,NA,"13","MOUNT EDEN",NA,NA,NA,"ENAGH","LIMAVADY","LONDONDERRY","BT490RP",268621,421895,835643
"835872","MCLAUGHLINS CONCRETE",NA,"CONCRETE WORKS",NA,"CARLARAGH ROAD",NA,NA,NA,"MOYS","LIMAVADY","LONDONDERRY","BT499LF",266165,418699,835872
"835937",NA,NA,NA,"138","MEADOWVALE PARK",NA,NA,NA,"ENAGH","LIMAVADY","LONDONDERRY","BT490SL",268349,422098,835937
"836034",NA,NA,NA,"5","TYLER PARK",NA,NA,NA,"RATHBRADY MORE","LIMAVADY","LONDONDERRY","BT490DS",267896,423489,836034
